date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:53:30	19836/19836	U--MC-	200	updated ('OK')	text/html	date:Thu,%2022%20Apr%202021%2014:53:26%20GMT	http://psykologisk-center.dk/praktisk-info/	C:/Users/ungar/Desktop/psykc-static/psykologiskcenter/praktisk-info/index.html	(from http://psykologisk-center.dk/)
16:53:30	32894/32894	U--MC-	200	updated ('OK')	text/html	date:Thu,%2022%20Apr%202021%2014:53:26%20GMT	http://psykologisk-center.dk/medarbejdere/	C:/Users/ungar/Desktop/psykc-static/psykologiskcenter/medarbejdere/index.html	(from http://psykologisk-center.dk/)
16:53:30	16050/16050	U--MC-	200	updated ('OK')	text/html	date:Thu,%2022%20Apr%202021%2014:53:29%20GMT	http://psykologisk-center.dk/metoder/	C:/Users/ungar/Desktop/psykc-static/psykologiskcenter/metoder/index.html	(from http://psykologisk-center.dk/)
16:53:31	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2022%20Apr%202021%2014:53:30%20GMT	http://psykologisk-center.dk/generelt	C:/Users/ungar/Desktop/psykc-static/psykologiskcenter/generelt	(from http://psykologisk-center.dk/)
16:53:31	14207/14207	U--MC-	200	updated ('OK')	text/html	date:Thu,%2022%20Apr%202021%2014:53:29%20GMT	http://psykologisk-center.dk/samarbejde/	C:/Users/ungar/Desktop/psykc-static/psykologiskcenter/samarbejde/index.html	(from http://psykologisk-center.dk/)
16:53:32	15483/15483	U--MC-	200	updated ('OK')	text/html	date:Thu,%2022%20Apr%202021%2014:53:30%20GMT	http://psykologisk-center.dk/generelt/	C:/Users/ungar/Desktop/psykc-static/psykologiskcenter/generelt/index.html	(from http://psykologisk-center.dk/)
16:53:33	17789/17789	U--MC-	200	updated ('OK')	text/html	date:Thu,%2022%20Apr%202021%2014:53:30%20GMT	http://psykologisk-center.dk/kriminelle-og-antisociale-unge/	C:/Users/ungar/Desktop/psykc-static/psykologiskcenter/kriminelle-og-antisociale-unge/index.html	(from http://psykologisk-center.dk/)
16:53:33	16289/16289	U--MC-	200	updated ('OK')	text/html	date:Thu,%2022%20Apr%202021%2014:53:31%20GMT	http://psykologisk-center.dk/personlighedsforstyrrelser/	C:/Users/ungar/Desktop/psykc-static/psykologiskcenter/personlighedsforstyrrelser/index.html	(from http://psykologisk-center.dk/)
16:53:34	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2022%20Apr%202021%2014:53:33%20GMT	http://psykologisk-center.dk/tilskud-til-betaling-af-psykologsamtaler	C:/Users/ungar/Desktop/psykc-static/psykologiskcenter/tilskud-til-betaling-af-psykologsamtaler	(from http://psykologisk-center.dk/)
16:53:34	16074/16074	U--MC-	200	updated ('OK')	text/html	date:Thu,%2022%20Apr%202021%2014:53:31%20GMT	http://psykologisk-center.dk/unge-fra-familier-med-rusmiddelmisbrug/	C:/Users/ungar/Desktop/psykc-static/psykologiskcenter/unge-fra-familier-med-rusmiddelmisbrug/index.html	(from http://psykologisk-center.dk/)
16:53:35	16427/16427	U--MC-	200	updated ('OK')	text/html	date:Thu,%2022%20Apr%202021%2014:53:33%20GMT	http://psykologisk-center.dk/unge-med-flygtninge-eller-invandrerbaggrund/	C:/Users/ungar/Desktop/psykc-static/psykologiskcenter/unge-med-flygtninge-eller-invandrerbaggrund/index.html	(from http://psykologisk-center.dk/)
16:53:35	14341/14341	U--MC-	200	updated ('OK')	text/html	date:Thu,%2022%20Apr%202021%2014:53:33%20GMT	http://psykologisk-center.dk/individuel-psykoterapi/	C:/Users/ungar/Desktop/psykc-static/psykologiskcenter/individuel-psykoterapi/index.html	(from http://psykologisk-center.dk/)
